name,country,average,strike_rate,economy,balls_bolwed_per_innings,wicket_index,big_impact_index,short_impact_index,runs_index,prelim_metric,pre-rank,kmeans_role,rbml_score,pca_score
N M'shangwe,ZIM,35.5,24.0,8.87,19.2,0.8,0.0,0.8,28.4,52.481,Poor,IB,0.577,1.083
Nawroz Mangal,AFG,20.0,15.0,8.0,10.0,0.667,0.0,0.667,13.333,26.667,Poor,LCB,0.41,0.687
Nazril Rahman,MAL,46.5,28.5,9.78,12.667,0.444,0.0,0.444,20.667,75.795,Poor,LCB,0.391,0.638
JO Ngoche,KENYA,35.0,36.0,5.83,20.571,0.571,0.0,0.571,20.0,34.008,Poor,SPB,0.627,0.997
Nizakat Khan,HKG,20.75,21.0,5.92,16.8,0.8,0.0,0.8,16.6,20.473,Poor,SPB,0.635,0.997
Nooruddin Mujadady,GER,37.0,22.5,9.86,18.0,0.8,0.0,0.8,29.6,60.803,Poor,IB,0.55,1.039
E Ochieng,KENYA,40.5,30.0,8.1,17.143,0.571,0.0,0.571,23.143,54.675,Poor,IB,0.582,0.88
LN Onyango,KENYA,32.0,19.5,9.84,15.6,0.8,0.0,0.8,25.6,52.48,Poor,IB,0.571,0.948
A Orfila,GIBR,33.75,22.5,9.0,18.0,0.8,0.0,0.8,27.0,50.625,Poor,IB,0.581,1.038
Osama Mahmood,SUI,24.25,21.0,6.92,21.0,1.0,0.0,1.0,24.25,27.968,Poor,SB,0.588,1.243
KJ Patel,SEY,37.0,33.2,6.67,22.1,0.667,0.0,0.667,24.667,41.132,Poor,IB,0.63,1.105
VD Philander,SA,28.5,20.7,8.24,13.5,0.667,0.0,0.667,19.0,39.14,Poor,LCB,0.461,0.809
R Powell,WI,30.75,21.0,8.78,12.0,0.571,0.0,0.571,17.571,44.997,Poor,LCB,0.417,0.7
Qudratullah Mir Afzail,SWE,23.75,23.7,6.0,15.5,0.667,0.0,0.667,15.833,23.75,Poor,SPB,0.607,0.884
Ravi Bishnoi,INDIA,27.0,24.0,6.75,24.0,1.0,0.0,1.0,27.0,30.375,Poor,SB,0.615,1.349
DR Sams,AUS,52.5,31.2,10.08,17.571,0.571,0.0,0.571,30.0,88.2,Poor,IB,0.5,0.893
CP Schofield,ENG,23.0,19.2,7.16,18.75,1.0,0.0,1.0,23.0,27.447,Poor,SPB,0.624,1.166
S Sengupta,CZK-R,42.25,27.0,9.38,18.0,0.667,0.0,0.667,28.167,66.051,Poor,IB,0.546,0.965
Shahadat Hossain,BAN,49.5,30.0,9.9,20.0,0.667,0.0,0.667,33.0,81.675,Poor,IB,0.508,1.036
Shoaib Ali,Saudi,45.75,32.2,8.51,18.257,0.571,0.0,0.571,26.143,64.889,Poor,IB,0.555,0.918
M Shumba,ZIM,23.75,16.5,8.63,16.5,1.0,0.0,1.0,23.75,34.16,Poor,SPB,0.575,1.082
ED Silva,KUW,11.75,15.0,4.7,15.0,1.0,0.0,1.0,11.75,9.204,Poor,SPB,0.686,1.034
LA Simango,MOZ,25.75,18.2,8.46,14.52,0.8,0.0,0.8,20.6,36.308,Poor,SPB,0.55,0.912
M Simpson-Parker,Aut,14.5,10.5,8.28,8.4,0.8,0.0,0.8,11.6,20.01,Poor,LCB,0.4,0.692
K Sinclair,WI,37.5,27.0,8.33,18.0,0.667,0.0,0.667,25.0,52.062,Poor,IB,0.586,0.966
Sohag Gazi,BAN,74.75,52.5,8.54,21.0,0.4,0.0,0.4,29.9,106.394,Poor,IB,0.483,0.886
CB Sole,SCOT,55.25,39.0,8.5,22.286,0.571,0.0,0.571,31.571,78.271,Poor,IB,0.527,1.057
AO Suji,KENYA,29.0,24.2,7.17,16.1,0.667,0.0,0.667,19.333,34.655,Poor,SPB,0.575,0.902
Syed Rasel,BAN,50.5,43.5,6.96,21.75,0.5,0.0,0.5,25.25,58.58,Poor,IB,0.581,0.989
T Taylor,Caym,40.25,31.5,7.66,15.75,0.5,0.0,0.5,20.125,51.386,Poor,LCB,0.48,0.791
TG Thamae,LES,21.25,15.0,8.5,15.0,1.0,0.0,1.0,21.25,30.104,Poor,SPB,0.575,1.027
AJ Turner,AUS,20.5,19.5,6.3,13.0,0.667,0.0,0.667,13.667,21.525,Poor,SPB,0.589,0.799
Usman Khan,Fran,20.75,19.5,6.38,19.5,1.0,0.0,1.0,20.75,22.064,Poor,SPB,0.66,1.188
TCW Veillard,GUE,23.25,24.0,5.81,24.0,1.0,0.0,1.0,23.25,22.514,Poor,SB,0.627,1.343
Vichanath Singh,THAI,38.0,34.2,6.65,19.286,0.571,0.0,0.571,21.714,42.117,Poor,IB,0.622,0.955
BV Vitori,ZIM,80.75,59.5,8.14,21.491,0.364,0.0,0.364,29.364,109.551,Poor,IB,0.478,0.869
K Weeraratne,SL,31.5,22.5,8.4,18.0,0.8,0.2,0.0,25.2,44.1,Poor,IB,0.58,0.934
Yasir Mehmood,CYP,20.75,18.0,6.91,18.0,1.0,0.0,1.0,20.75,23.897,Poor,SPB,0.635,1.137
Zain Ul Abidin,Saudi,20.5,19.5,6.3,19.5,1.0,0.0,1.0,20.5,21.525,Poor,SPB,0.662,1.188
Aarif Sheikh,NEPAL,26.33,24.0,6.58,10.286,0.429,0.0,0.429,11.286,28.875,Poor,LCB,0.391,0.578
Aaron Jones,USA,18.33,24.0,4.58,12.0,0.5,0.0,0.5,9.167,13.992,Poor,LCB,0.458,0.69
AS Abioye,NGA,29.0,20.0,8.7,15.0,0.75,0.0,0.75,21.75,42.05,Poor,SPB,0.536,0.903
AR Adams,NZ,35.0,25.6,8.18,18.75,0.75,0.0,0.75,26.25,47.717,Poor,IB,0.592,1.04
Ahmadullah Shinwari,NOR,29.0,32.0,5.43,19.2,0.6,0.0,0.6,17.4,26.245,Poor,SPB,0.637,0.97
Ahsan Khan,BUL,70.33,40.0,10.55,13.333,0.333,0.0,0.333,23.444,123.664,Poor,LCB,0.363,0.571
Asad Mohammad,GER,63.66,58.0,6.58,17.4,0.3,0.0,0.3,19.1,69.814,Poor,LCB,0.478,0.693
Baz Aybui,SWE,26.0,22.0,7.09,13.2,0.6,0.0,0.6,15.6,30.723,Poor,LCB,0.464,0.767
P Buccimazza,PORT,28.66,26.0,6.61,19.5,0.75,0.0,0.75,21.5,31.574,Poor,SPB,0.619,1.063
T Bukenya,UGA,44.33,28.0,9.5,21.0,0.75,0.0,0.75,33.25,70.189,Poor,IB,0.529,1.122
TLW Cooper,NED,44.0,34.0,7.76,11.333,0.333,0.0,0.333,14.667,56.907,Poor,LCB,0.373,0.535
BCJ Cutting,AUS,71.66,42.0,10.23,18.0,0.429,0.0,0.429,30.714,122.18,Poor,IB,0.454,0.805
DC Drakes,WI,59.0,32.0,11.06,19.2,0.6,0.0,0.6,35.4,108.757,Poor,IB,0.454,0.967
A Dutt,NED,25.33,14.0,10.85,10.5,0.75,0.0,0.75,19.0,45.805,Poor,LCB,0.398,0.727
Fayaz Khan,GER,29.0,24.0,7.25,18.0,0.75,0.0,0.75,21.75,35.042,Poor,SPB,0.59,1.012
Gaurav Mishra,ROM,42.66,34.0,7.52,17.0,0.5,0.0,0.5,21.333,53.467,Poor,IB,0.589,0.834
TGJ Gruijters,NED,24.66,24.0,6.16,14.4,0.6,0.0,0.6,14.8,25.318,Poor,SPB,0.591,0.812
LHB Harrington-Myers,Caym,22.66,16.0,8.5,12.0,0.75,0.0,0.75,17.0,32.102,Poor,LCB,0.449,0.795
Hayatullah Niazi,NOR,27.0,20.0,8.1,15.0,0.75,0.0,0.75,20.25,36.45,Poor,SPB,0.556,0.904
J Hirschi,MLT,32.0,22.0,8.72,16.5,0.75,0.0,0.75,24.0,46.507,Poor,IB,0.594,0.958
Huzaifa Mohammed,PHI,53.0,35.6,8.91,21.0,0.6,0.0,0.6,31.8,78.705,Poor,IB,0.519,1.033
Ibrahim Rizan,Mald,45.66,34.3,7.98,12.825,0.375,0.0,0.375,17.125,60.728,Poor,LCB,0.403,0.611
B Jagroo,Bhm,32.33,20.0,9.7,10.0,0.5,0.0,0.5,16.167,52.267,Poor,LCB,0.364,0.584
YYM Jakda,LES,60.0,36.0,10.0,18.0,0.5,0.0,0.5,30.0,100.0,Poor,IB,0.484,0.859
GSNFG Jayasuriya,SL,71.0,45.6,9.32,12.273,0.273,0.0,0.273,19.364,110.287,Poor,LCB,0.349,0.493
Kaleem Shah,MOZ,43.33,34.0,7.64,17.0,0.5,0.0,0.5,21.667,55.174,Poor,IB,0.584,0.833
D Kansonkho,MWI,61.66,44.0,8.4,14.667,0.333,0.0,0.333,20.556,86.324,Poor,LCB,0.414,0.631
LP Kasturiarachchige,Aut,43.33,32.0,8.12,19.2,0.6,0.0,0.6,26.0,58.64,Poor,IB,0.572,0.968
Khaibar Deldar,HUN,35.33,20.0,10.6,15.0,0.75,0.0,0.75,26.5,62.416,Poor,IB,0.545,0.899
J Kila,PNG,33.0,34.0,5.82,11.333,0.333,0.0,0.333,11.0,32.01,Poor,LCB,0.399,0.554
N Krishna,SEY,36.0,26.0,8.3,15.6,0.6,0.0,0.6,21.6,49.8,Poor,LCB,0.486,0.842
C Kyewuta,UGA,34.33,34.0,6.05,20.4,0.6,0.0,0.6,20.6,34.616,Poor,SPB,0.621,1.009
CJ Langford,IOM,19.66,21.0,5.61,15.45,0.75,0.0,0.75,14.75,18.382,Poor,SPB,0.629,0.927
NCK Liyanage,MAL,33.33,28.0,7.14,16.8,0.6,0.0,0.6,20.0,39.663,Poor,SPB,0.569,0.887
JN Loftie-Eaton,NAM,56.0,46.3,7.25,13.86,0.3,0.0,0.3,16.8,67.667,Poor,LCB,0.411,0.587
SSB Magala,SA,46.0,28.0,9.85,21.0,0.75,0.0,0.75,34.5,75.517,Poor,IB,0.513,1.122
SI Mahmood,ENG,51.66,28.0,11.07,21.0,0.75,0.0,0.75,38.75,95.313,Poor,IB,0.464,1.125
DE Martel,GUE,35.33,32.6,6.48,19.44,0.6,0.0,0.6,21.2,38.156,Poor,IB,0.635,0.978
B Masaba,UGA,26.33,28.0,5.64,21.0,0.75,0.0,0.75,19.75,24.75,Poor,SPB,0.661,1.112
B Mavuta,ZIM,67.0,50.0,8.04,16.667,0.333,0.0,0.333,22.333,89.78,Poor,LCB,0.451,0.692
Mohammad Ghazanfar,HKG,28.33,28.0,6.07,16.8,0.6,0.0,0.6,17.0,28.661,Poor,SPB,0.605,0.889
Mustapha Yusuf,NGA,40.0,28.0,8.57,16.8,0.6,0.0,0.6,24.0,57.133,Poor,IB,0.573,0.884
M Mwamadi,MWI,25.33,20.6,7.35,15.3,0.75,0.0,0.75,19.0,31.029,Poor,SPB,0.577,0.918
Naeem Islam,BAN,40.66,30.0,8.13,15.0,0.5,0.0,0.5,20.333,55.094,Poor,LCB,0.46,0.764
MP O'Dowd,NED,39.66,25.3,9.39,8.267,0.333,0.0,0.333,13.222,62.068,Poor,LCB,0.307,0.424
Omar Hussain,LES,24.0,16.0,9.0,12.0,0.75,0.0,0.75,18.0,36.0,Poor,LCB,0.442,0.793
RJG Palmer,JER,25.0,26.0,5.76,15.6,0.6,0.0,0.6,15.0,24.0,Poor,SPB,0.608,0.85
SD Parry,ENG,46.0,32.0,8.62,19.2,0.6,0.0,0.6,27.6,66.087,Poor,IB,0.552,0.969
N Pathan,THAI,26.33,15.3,10.3,8.88,0.6,0.0,0.6,15.8,45.2,Poor,LCB,0.354,0.595
JL Pattinson,AUS,34.66,26.0,8.0,19.5,0.75,0.0,0.75,26.0,46.213,Poor,IB,0.601,1.064
WJR Robertson,JER,33.66,36.3,5.55,18.1,0.5,0.0,0.5,16.833,31.135,Poor,SPB,0.612,0.874
M Sert,TKY,31.0,20.0,9.3,15.0,0.75,0.0,0.75,23.25,48.05,Poor,IB,0.588,0.902
Shahab Alam,NEPAL,41.0,22.0,11.18,16.5,0.75,0.0,0.75,30.75,76.397,Poor,IB,0.51,0.954
Sher Sahak,NOR,15.66,11.3,8.29,8.1,0.75,0.0,0.75,11.75,21.637,Poor,LCB,0.385,0.661
DJM Short,AUS,50.33,38.0,7.94,12.667,0.333,0.0,0.333,16.778,66.603,Poor,LCB,0.391,0.572
Sikander Zulfiqar,NED,26.33,20.0,7.9,8.571,0.429,0.0,0.429,11.286,34.668,Poor,LCB,0.349,0.512
S Singh,PHI,36.66,22.0,10.0,16.5,0.75,0.0,0.75,27.5,61.1,Poor,IB,0.551,0.956
JH Stander,SCOT,52.0,27.0,11.55,11.4,0.429,0.0,0.429,22.286,100.1,Poor,LCB,0.345,0.574
ADL Stokoe,IOM,22.33,24.0,5.58,18.0,0.75,0.0,0.75,16.75,20.767,Poor,SPB,0.647,1.012
M Swack,Caym,26.0,26.0,6.0,19.5,0.75,0.0,0.75,19.5,26.0,Poor,SPB,0.641,1.061
Tahir Dar,BHR,42.66,28.0,9.14,21.0,0.75,0.0,0.75,32.0,64.985,Poor,IB,0.544,1.12
Tanveer Ahmed,HKG,38.66,27.0,8.59,15.96,0.6,0.0,0.6,23.2,55.348,Poor,IB,0.576,0.856
SF Tiai,Samoa,27.33,22.0,7.45,16.5,0.75,0.0,0.75,20.5,33.935,Poor,SPB,0.58,0.96
NK Tiwari,CYP,42.33,36.0,7.05,18.0,0.5,0.0,0.5,21.167,49.738,Poor,IB,0.599,0.866
HER Tyler,PHI,66.0,38.0,10.42,19.0,0.5,0.0,0.5,33.0,114.62,Poor,IB,0.457,0.893
P Vekaria,RWN,52.33,42.0,7.47,18.0,0.429,0.0,0.429,22.429,65.151,Poor,IB,0.566,0.816
K Vislapuu,EST,28.66,22.0,7.81,16.5,0.75,0.0,0.75,21.5,37.306,Poor,SPB,0.568,0.959
K Waiswa,UGA,48.0,28.0,10.28,16.8,0.6,0.0,0.6,28.8,82.24,Poor,IB,0.512,0.879
RR Watson,SCOT,30.66,20.0,9.2,12.0,0.6,0.0,0.6,18.4,47.012,Poor,LCB,0.417,0.714
RM West,IRE,47.33,38.0,7.47,22.8,0.6,0.0,0.6,28.4,58.926,Poor,IB,0.578,1.09
C Wright,Caym,31.0,30.0,6.2,12.857,0.429,0.0,0.429,13.286,32.033,Poor,LCB,0.439,0.661
KJ Young,Blz,36.33,26.0,8.38,19.5,0.75,0.0,0.75,27.25,50.741,Poor,IB,0.586,1.065
Ziaur Rahman,BAN,42.33,25.0,10.16,10.543,0.429,0.0,0.429,18.143,71.679,Poor,LCB,0.351,0.555
Abdullah Sheikh,NOR,39.5,36.0,6.58,18.0,0.5,0.0,0.5,19.75,43.318,Poor,SPB,0.575,0.867
Ahmed Hassan,Mald,40.5,22.5,10.8,8.76,0.4,0.0,0.4,16.2,72.9,Poor,LCB,0.313,0.471
Ali Waqar,CZK-R,76.0,54.0,8.44,18.0,0.333,0.0,0.333,25.333,106.907,Poor,IB,0.49,0.731
Ali Naqi,PORT,32.5,30.0,6.5,15.0,0.5,0.0,0.5,16.25,35.208,Poor,LCB,0.486,0.772
DNA Ankrah,Ghana,42.5,36.0,7.08,18.0,0.5,0.0,0.5,21.25,50.15,Poor,IB,0.599,0.866
Aqib Ilyas,OMA,58.5,51.0,6.88,14.571,0.286,0.0,0.286,16.714,67.08,Poor,LCB,0.424,0.598
S Arachchige,ITA,21.0,18.0,7.0,9.0,0.5,0.0,0.5,10.5,24.5,Poor,LCB,0.377,0.574
SK Atai,PNG,33.0,27.0,7.33,10.8,0.4,0.0,0.4,13.2,40.315,Poor,LCB,0.386,0.571
Avesh Khan,INDIA,76.0,57.0,8.0,22.8,0.4,0.0,0.4,30.4,101.333,Poor,IB,0.493,0.944
JR Barry,Bhm,49.0,36.0,8.16,14.4,0.4,0.0,0.4,19.6,66.64,Poor,LCB,0.43,0.678
TD Chaoana,LES,47.0,38.0,7.42,14.88,0.4,0.0,0.4,18.8,58.123,Poor,LCB,0.448,0.697
KM Dabengwa,ZIM,53.0,33.0,9.63,9.429,0.286,0.0,0.286,15.143,85.065,Poor,LCB,0.312,0.421
AP Devcich,NZ,40.0,36.0,6.66,18.0,0.5,0.0,0.5,20.0,44.4,Poor,SPB,0.573,0.868
Ehsan Nawaz,HKG,39.5,23.0,10.3,8.88,0.4,0.0,0.4,15.8,67.808,Poor,LCB,0.32,0.48
AM Ellis,NZ,52.5,30.0,10.5,15.0,0.5,0.0,0.5,26.25,91.875,Poor,IB,0.502,0.753
Festus Benn,Bhm,54.0,27.0,12.0,13.5,0.5,0.0,0.5,27.0,108.0,Poor,LCB,0.383,0.692
D Gim,NGA,32.5,18.0,10.83,9.0,0.5,0.0,0.5,16.25,58.662,Poor,LCB,0.337,0.539
MS Graham,Bhm,59.0,51.0,6.94,17.0,0.333,0.0,0.333,19.667,68.243,Poor,LCB,0.473,0.711
L Gregory,ENG,58.5,39.0,9.0,15.6,0.4,0.0,0.4,23.4,87.75,Poor,LCB,0.438,0.71
KC Hodsoll,BMUDA,29.5,27.0,6.55,13.5,0.5,0.0,0.5,14.75,32.204,Poor,LCB,0.457,0.724
Imran Ashraf,QAT,56.5,33.0,10.27,16.5,0.5,0.0,0.5,28.25,96.709,Poor,IB,0.492,0.807
Imran Khan,PORT,41.5,39.0,6.38,15.6,0.4,0.0,0.4,16.6,44.128,Poor,LCB,0.478,0.725
Junaid Sheikh,NOR,52.0,48.0,6.5,19.2,0.4,0.0,0.4,20.8,56.333,Poor,IB,0.59,0.836
B Khumalo,BOT,54.5,38.5,8.49,18.75,0.5,0.0,0.5,27.25,77.117,Poor,IB,0.529,0.889
P Manning,Caym,26.5,24.0,6.62,12.0,0.5,0.0,0.5,13.25,29.238,Poor,LCB,0.432,0.675
H Masakadza,ZIM,56.5,36.0,9.41,8.0,0.222,0.0,0.222,12.556,88.611,Poor,LCB,0.277,0.328
MV Matsau,LES,39.0,25.0,9.36,12.3,0.5,0.0,0.5,19.5,60.84,Poor,LCB,0.4,0.666
AS Mehmi,GRC,27.0,15.0,10.8,7.5,0.5,0.0,0.5,13.5,48.6,Poor,LCB,0.314,0.486
Mohammad Adnan,Saudi,60.0,51.0,7.05,20.4,0.4,0.0,0.4,24.0,70.5,Poor,IB,0.556,0.873
