name,country,average,strike_rate,economy,balls_bolwed_per_innings,wicket_index,big_impact_index,short_impact_index,runs_index,prelim_metric,pre-rank,kmeans_role,rbml_score,pca_score
CJ Delany,GIBR,95.0,50.0,11.4,12.3,0.25,0.0,0.25,23.75,180.5,Poor,LCB,0.312,0.447
A Djorovic,SRB,136.0,93.0,8.77,15.3,0.167,0.0,0.167,22.667,198.787,Poor,LCB,0.346,0.419
KR Ebanks,Caym,104.0,66.0,9.45,13.2,0.2,0.0,0.2,20.8,163.8,Poor,LCB,0.334,0.428
NA Greenwood,JER,31.0,24.0,7.75,6.0,0.25,0.0,0.25,7.75,40.042,Poor,LCB,0.276,0.322
RJ Hatchman,GIBR,164.0,84.0,11.71,12.0,0.143,0.0,0.143,23.429,320.073,Poor,LCB,0.248,0.246
Ibrahim Nashath,Mald,103.0,66.0,9.36,13.2,0.2,0.0,0.2,20.6,160.68,Poor,LCB,0.334,0.429
Iftikhar Ahmed,PAK,99.0,74.0,8.02,10.457,0.143,0.0,0.143,14.143,132.33,Poor,LCB,0.29,0.29
Irfan Mir,Chile,73.0,90.0,4.86,22.5,0.25,0.0,0.25,18.25,59.13,Poor,IB,0.579,0.788
O Isesele,NGA,104.0,60.0,10.4,15.0,0.25,0.0,0.25,26.0,180.267,Poor,LCB,0.361,0.534
Itibarshah Deedar,Aut,86.0,58.0,8.89,11.28,0.2,0.0,0.2,17.2,127.423,Poor,LCB,0.316,0.388
Jaison Jerome,MLT,190.0,114.0,10.0,19.0,0.167,0.0,0.167,31.667,316.667,Poor,IB,0.241,0.476
Khurram Chohan,CAN,106.0,73.0,8.71,18.15,0.25,0.0,0.25,26.5,153.877,Poor,IB,0.423,0.638
S Kushretha,LUX,102.0,84.0,7.28,21.0,0.25,0.0,0.25,25.5,123.76,Poor,IB,0.459,0.727
Lemar Momand,SWE,74.0,78.0,5.69,13.0,0.167,0.0,0.167,12.333,70.177,Poor,LCB,0.375,0.426
SKDT Madusanka,SEY,58.0,36.0,9.66,9.0,0.25,0.0,0.25,14.5,93.38,Poor,LCB,0.297,0.377
A Makesh,KUW,79.0,54.0,8.77,13.5,0.25,0.0,0.25,19.75,115.472,Poor,LCB,0.368,0.511
SF Mire,ZIM,115.0,72.0,9.58,14.4,0.2,0.0,0.2,23.0,183.617,Poor,LCB,0.344,0.454
EMDY Munaweera,SL,92.0,60.0,9.2,12.0,0.2,0.0,0.2,18.4,141.067,Poor,LCB,0.322,0.402
T Mupariwa,ZIM,94.0,78.0,7.23,19.5,0.25,0.0,0.25,23.5,113.27,Poor,IB,0.479,0.688
Nazmul Hossain,BAN,67.0,42.0,9.57,10.5,0.25,0.0,0.25,16.75,106.865,Poor,LCB,0.316,0.42
R Nil,SEY,103.0,72.0,8.58,18.0,0.25,0.0,0.25,25.75,147.29,Poor,IB,0.432,0.635
JL Ontong,SA,83.0,36.0,13.83,9.0,0.25,0.0,0.25,20.75,191.315,Poor,LCB,0.247,0.324
M Podosky,PHI,120.0,96.0,7.5,24.0,0.25,0.0,0.25,30.0,150.0,Poor,IB,0.414,0.805
Raaz Mohammad,Fin,97.0,72.0,8.08,14.4,0.2,0.0,0.2,19.4,130.627,Poor,LCB,0.371,0.475
A Reyes,GIBR,100.0,58.0,10.34,11.28,0.2,0.0,0.2,20.0,172.333,Poor,LCB,0.293,0.368
S Saeed,Mald,95.0,66.0,8.63,13.2,0.2,0.0,0.2,19.0,136.642,Poor,LCB,0.346,0.44
Sandeep Goud,Bhm,105.0,79.0,7.97,11.229,0.143,0.0,0.143,15.0,139.475,Poor,LCB,0.3,0.303
M Sarenac,SRB,114.0,54.0,12.66,10.8,0.2,0.0,0.2,22.8,240.54,Poor,LCB,0.261,0.324
RG Sharma,INDIA,113.0,68.0,9.97,7.467,0.111,0.0,0.111,12.556,187.768,Poor,LCB,0.211,0.135
JT Smuts,SA,178.0,136.0,7.85,13.44,0.1,0.0,0.1,17.8,232.883,Poor,LCB,0.28,0.193
S Tarawally,SLE,118.0,114.0,6.21,19.0,0.167,0.0,0.167,19.667,122.13,Poor,LCB,0.447,0.541
S Thanikaithasan,DEN,66.0,53.0,7.47,12.75,0.25,0.0,0.25,16.5,82.17,Poor,LCB,0.374,0.503
JJ Tucker,BMUDA,62.0,42.0,8.85,10.5,0.25,0.0,0.25,15.5,91.45,Poor,LCB,0.326,0.429
CL White,AUS,51.0,42.0,7.28,8.4,0.2,0.0,0.2,10.2,61.88,Poor,LCB,0.302,0.345
Zahid Khan,SLE,75.0,60.0,7.5,15.0,0.25,0.0,0.25,18.75,93.75,Poor,LCB,0.409,0.565
Zohaib Sarwar,PORT,51.0,42.0,7.28,10.5,0.25,0.0,0.25,12.75,61.88,Poor,LCB,0.348,0.448
