name,country,average,strike_rate,boundary_per_ball,boundary_index,finishing_index,runs_without_boundary_index,big_match_index,prelim_metric,pre-rank,kmeans_role,rbml_score,pca_score
Raza-ur-Rehman,CAN,6.25,86.2,0.103,0.75,0.0,3.25,0.0,5.388,Poor,LCB,-0.804,-1.837
A Srivastav,CHILE,6.25,67.56,0.054,0.5,0.0,4.25,0.0,4.222,Poor,LCB,-1.244,-2.411
LA Collado,GIBR,12.0,58.53,0.024,0.2,0.6,4.0,0.0,7.024,Poor,LCB,-1.341,-2.999
Jagjit Singh,PERU,6.0,80.0,0.033,0.25,0.0,5.0,0.0,4.8,Poor,LCB,-1.172,-2.415
B Regmi,NEPAL,3.42,42.85,0.036,0.182,0.364,1.455,0.0,1.465,Poor,LCB,-1.716,-3.605
P Useni,NGA,24.0,75.0,0.062,0.25,0.875,2.0,0.0,18.0,Poor,LCB,-0.795,-2.375
DL Brangman,BMUDA,11.5,92.0,0.12,0.75,0.5,2.25,0.0,10.58,Poor,LCB,-0.533,-1.833
MV Matsau,LES,7.66,82.14,0.071,0.4,0.4,3.0,0.0,6.292,Poor,LCB,-0.943,-2.452
Shafiul Islam,BAN,4.6,69.69,0.061,0.333,0.167,2.167,0.0,3.206,Poor,LCB,-1.245,-2.777
Abdur Rehman,PAK,11.0,75.86,0.0,0.0,0.6,4.4,0.0,8.345,Poor,LCB,-1.225,-3.005
C Brennan,JER,7.33,66.66,0.03,0.25,0.25,4.0,0.0,4.886,Poor,LCB,-1.323,-2.811
S Mahmood,ENG,7.33,78.57,0.071,0.286,0.571,2.0,0.0,5.759,Poor,LCB,-1.001,-2.761
BM Scholtz,NAM,11.0,57.89,0.026,0.111,0.778,2.0,0.0,6.368,Poor,LCB,-1.375,-3.38
LA Simango,MOZ,22.0,70.96,0.065,0.4,0.8,2.8,0.0,15.611,Poor,LCB,-0.846,-2.308
MR Gillespie,NZ,10.5,72.41,0.0,0.0,0.667,3.5,0.0,7.603,Poor,LCB,-1.283,-3.203
R Hekure,PNG,3.5,63.63,0.03,0.143,0.143,2.429,0.0,2.227,Poor,LCB,-1.477,-3.144
Mohammad Sami,PAK,21.0,70.0,0.067,0.5,0.75,3.25,0.0,14.7,Poor,LCB,-0.855,-2.235
SJS Smith,SCOT,7.0,52.5,0.025,0.25,0.25,4.25,0.0,3.675,Poor,LCB,-1.535,-3.026
MS Graham,BHM,4.0,52.63,0.026,0.167,0.167,2.667,0.0,2.105,Poor,LCB,-1.621,-3.28
Z Groenewald,NAM,6.66,57.14,0.0,0.0,0.25,5.0,0.0,3.806,Poor,LCB,-1.583,-3.164
Rubel Hossain,BAN,4.0,55.55,0.028,0.067,0.667,1.067,0.0,2.222,Poor,LCB,-1.541,-3.731
LV van Beek,NED,5.0,71.42,0.0,0.0,0.333,3.333,0.0,3.571,Poor,LCB,-1.429,-3.257
CJ Dala,SA,19.0,67.85,0.036,0.25,0.75,3.75,0.0,12.891,Poor,LCB,-1.046,-2.6
Jaspreet Singh,ITA,4.75,70.37,0.037,0.25,0.0,3.75,0.0,3.343,Poor,LCB,-1.327,-2.694
A Kirschbaum,ARG,3.8,55.88,0.029,0.167,0.167,2.5,0.0,2.123,Poor,LCB,-1.573,-3.241
TL Chatara,ZIM,4.5,66.66,0.037,0.167,0.333,2.333,0.0,3.0,Poor,LCB,-1.365,-3.131
SS Cottrell,WI,4.5,62.06,0.069,0.2,0.6,1.0,0.0,2.793,Poor,LCB,-1.296,-3.265
P Suanchuai,THAI,6.0,50.0,0.028,0.25,0.25,3.0,0.0,3.0,Poor,LCB,-1.592,-3.205
Raza Hasan,PAK,13.0,72.0,0.08,0.5,1.0,2.5,0.0,9.36,Poor,LCB,-0.878,-2.684
Awais Malik,QAT,2.42,62.96,0.037,0.143,0.0,1.857,0.0,1.524,Poor,LCB,-1.505,-3.12
D Bishoo,WI,8.5,58.62,0.069,0.5,0.5,2.25,0.0,4.983,Poor,LCB,-1.239,-2.844
R Davson,BHM,4.25,53.12,0.0,0.0,0.2,3.4,0.0,2.258,Poor,LCB,-1.706,-3.448
A Djorovic,SRB,8.5,47.22,0.028,0.2,0.6,2.6,0.0,4.014,Poor,LCB,-1.555,-3.413
H Hiri,PNG,3.4,56.66,0.033,0.2,0.0,2.6,0.0,1.926,Poor,LCB,-1.57,-3.096
HA Jackson,FRAN,5.66,60.71,0.036,0.25,0.25,3.25,0.0,3.436,Poor,LCB,-1.42,-2.997
Khurram Shahzad,QAT,4.25,58.62,0.069,0.4,0.2,1.8,0.0,2.491,Poor,LCB,-1.365,-2.921
S Kizilkaya,TKY,4.25,60.71,0.107,0.75,0.0,1.25,0.0,2.58,Poor,LCB,-1.196,-2.436
ZE Matsinhe,MOZ,4.25,65.38,0.038,0.167,0.333,1.833,0.0,2.779,Poor,LCB,-1.392,-3.203
B Muzarabani,ZIM,4.25,65.38,0.115,0.333,0.556,0.556,0.0,2.779,Poor,LCB,-1.091,-2.893
I Tchakou,CAM,4.25,42.5,0.025,0.25,0.0,3.25,0.0,1.806,Poor,LCB,-1.762,-3.221
Abdullah Sheikh,NOR,5.33,64.0,0.04,0.25,0.25,3.0,0.0,3.411,Poor,LCB,-1.371,-2.965
IKO Aboagye,GHANA,4.0,43.24,0.0,0.0,0.0,4.0,0.0,1.73,Poor,LCB,-1.863,-3.408
P Arrighi,ARG,4.0,34.78,0.0,0.0,0.0,4.0,0.0,1.391,Poor,LCB,-1.978,-3.522
SDJJ Dima,MOZ,3.2,44.44,0.0,0.0,0.0,3.2,0.0,1.422,Poor,LCB,-1.871,-3.506
M Fru,CAM,4.0,51.61,0.032,0.25,0.0,3.0,0.0,2.064,Poor,LCB,-1.622,-3.086
FJ Mpegna,CAM,8.0,64.0,0.12,0.75,0.5,0.5,0.0,5.12,Poor,LCB,-0.991,-2.53
KR Ebanks,CAYM,3.75,55.55,0.037,0.25,0.0,2.75,0.0,2.083,Poor,LCB,-1.558,-3.035
AC Kose,TKY,3.75,45.45,0.091,0.75,0.0,0.75,0.0,1.704,Poor,LCB,-1.473,-2.818
Nasrulla Rana,HKG,3.75,57.69,0.0,0.0,0.333,2.5,0.0,2.163,Poor,LCB,-1.646,-3.577
RW Price,ZIM,3.0,53.57,0.036,0.111,0.444,1.222,0.0,1.607,Poor,LCB,-1.578,-3.578
R Rampaul,WI,7.5,51.72,0.0,0.0,0.714,2.143,0.0,3.879,Poor,LCB,-1.622,-3.771
Rizwan Mangera,PNM,5.0,40.54,0.054,0.5,0.25,1.75,0.0,2.027,Poor,LCB,-1.632,-3.228
AO Suji,KENYA,5.0,51.72,0.0,0.0,0.4,3.0,0.0,2.586,Poor,LCB,-1.692,-3.597
G Dutta,MEX,2.33,50.0,0.036,0.167,0.0,1.667,0.0,1.165,Poor,LCB,-1.686,-3.316
VD Philander,SA,3.5,50.0,0.0,0.0,0.0,3.5,0.0,1.75,Poor,LCB,-1.786,-3.388
Saqlain Haider,UAE,3.5,40.0,0.0,0.0,0.2,2.8,0.0,1.4,Poor,LCB,-1.904,-3.716
SP Gauchan,NEPAL,4.33,30.23,0.0,0.0,0.4,2.6,0.0,1.309,Poor,LCB,-1.999,-3.956
EB Ringera,KENYA,2.16,50.0,0.0,0.0,0.0,2.167,0.0,1.08,Poor,LCB,-1.827,-3.576
H Helva,TKY,3.0,48.0,0.08,0.5,0.0,1.0,0.0,1.44,Poor,LCB,-1.517,-2.96
Apon Mustafizur,SRB,2.75,29.72,0.054,0.5,0.0,0.75,0.0,0.817,Poor,LCB,-1.863,-3.414
W Uisuk,THAI,2.75,27.5,0.025,0.25,0.0,1.75,0.0,0.756,Poor,LCB,-2.01,-3.634
I Katzarski,BUL,2.25,32.14,0.0,0.0,0.0,2.25,0.0,0.723,Poor,LCB,-2.067,-3.805
JD Freyone,GIBR,2.0,27.58,0.0,0.0,0.0,2.0,0.0,0.552,Poor,LCB,-2.136,-3.903
