name,country,average,strike_rate,boundary_per_ball,boundary_index,finishing_index,runs_without_boundary_index,big_match_index,prelim_metric,pre-rank,kmeans_role,rbml_score,pca_score
Abdullah Jasat,PNM,8.4,123.52,0.176,1.0,0.167,2.333,0.0,10.376,Poor,F,-0.218,-0.858
Amjad Ali,UAE,10.5,80.76,0.115,1.2,0.2,3.6,0.0,8.48,Poor,LCB,-0.678,-1.566
Azyan Farhath,MALD,8.4,66.66,0.048,0.5,0.167,5.0,0.0,5.599,Poor,LCB,-1.209,-2.4
F Baaleri,GHANA,10.5,70.0,0.1,1.5,0.0,4.5,0.0,7.35,Poor,LCB,-0.851,-1.481
SP Guzman,PNM,8.4,80.76,0.135,1.4,0.0,2.4,0.0,6.784,Poor,LCB,-0.662,-1.44
NG Jones,IRE,21.0,110.52,0.079,0.75,0.5,6.5,0.0,23.209,Poor,F,-0.033,-1.037
N Krishna,SEY,7.0,77.77,0.093,0.833,0.0,3.667,0.0,5.444,Poor,LCB,-0.925,-1.913
Muaviath Ganee,MALD,10.5,95.45,0.091,1.0,0.0,6.0,0.0,10.022,Poor,LCB,-0.58,-1.244
AT Rayudu,INDIA,10.5,84.0,0.1,1.0,0.2,4.4,0.0,8.82,Poor,LCB,-0.7,-1.621
M Sert,TKY,14.0,71.18,0.085,1.25,0.25,5.5,0.0,9.965,Poor,LCB,-0.818,-1.571
Abdur Razzak,BAN,4.1,55.4,0.014,0.05,0.5,1.85,0.0,2.271,Poor,LCB,-1.603,-3.648
Asad Ali Rehemtulla,BUL,8.2,83.67,0.061,0.375,0.375,3.625,0.0,6.861,Poor,LCB,-0.944,-2.407
S Browne,LUX,10.25,83.67,0.082,1.0,0.0,6.25,0.0,8.576,Poor,LCB,-0.773,-1.449
KA Jamieson,NZ,20.5,151.85,0.259,1.75,0.5,3.25,0.0,31.129,Poor,F,0.75,0.756
K Jethi,CAN,10.25,69.49,0.034,0.4,0.2,5.8,0.0,7.123,Poor,LCB,-1.188,-2.358
J Jojo,DEN,13.66,132.25,0.065,0.286,0.571,4.429,0.0,18.065,Poor,F,-0.072,-1.571
D Sheeli,KUW,8.2,95.34,0.116,1.0,0.0,4.2,0.0,7.818,Poor,LCB,-0.559,-1.356
M Vaik,EST,6.83,53.94,0.013,0.167,0.0,6.167,0.0,3.684,Poor,LCB,-1.576,-2.781
Amir Hamza,AFG,10.0,105.26,0.105,0.444,0.556,2.444,0.0,10.526,Poor,F,-0.282,-1.951
BCJ Cutting,AUS,10.0,148.14,0.185,1.0,0.2,2.8,0.0,14.814,Poor,F,0.056,-0.375
BC Fortuin,SA,10.0,125.0,0.188,1.0,0.333,2.667,0.0,12.5,Poor,F,-0.005,-0.761
S Rakshit,CZK-R,10.0,90.9,0.136,1.2,0.2,2.8,0.0,9.09,Poor,LCB,-0.489,-1.392
F Stoman,PORT,13.33,65.57,0.033,0.5,0.25,7.5,0.0,8.74,Poor,LCB,-1.152,-2.112
Tariq Aziz,PORT,13.33,85.1,0.064,0.75,0.25,6.0,0.0,11.344,Poor,LCB,-0.771,-1.694
GK Berg,ITA,9.75,66.1,0.034,0.333,0.333,4.833,0.0,6.445,Poor,LCB,-1.247,-2.627
RR David,CAN,9.75,60.0,0.046,0.75,0.0,6.25,0.0,5.85,Poor,LCB,-1.259,-2.123
A Manepalli,LUX,9.75,97.5,0.075,0.6,0.2,5.0,0.0,9.506,Poor,LCB,-0.66,-1.731
KB Ahir,PNM,32.0,95.12,0.146,1.2,1.0,2.6,0.0,30.438,Poor,F,0.414,-0.862
D Ahir,PNM,7.6,105.55,0.139,1.0,0.0,2.8,0.0,8.022,Poor,LCB,-0.37,-1.23
R Flannigan,SCOT,12.66,115.15,0.121,1.0,0.25,5.5,0.0,14.578,Poor,F,-0.176,-0.893
NR Johns-Wickberg,SRB,9.5,102.7,0.162,1.5,0.0,3.5,0.0,9.756,Poor,F,-0.428,-0.772
AK Kitchen,NZ,12.66,118.75,0.125,1.0,0.25,5.0,0.0,15.034,Poor,F,-0.163,-0.867
BF Mailata,SAMOA,9.5,79.16,0.062,0.75,0.0,6.0,0.0,7.52,Poor,LCB,-0.95,-1.794
H Pragji,BOT,12.66,58.46,0.015,0.25,0.25,8.5,0.0,7.401,Poor,LCB,-1.34,-2.354
DV Varghese,BUL,12.66,74.5,0.039,0.286,0.571,4.286,0.0,9.432,Poor,LCB,-1.052,-2.578
BJ Watling,NZ,9.5,65.51,0.052,0.75,0.0,6.5,0.0,6.223,Poor,LCB,-1.162,-1.995
